ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Manufacturer_Model,Price
45642477,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,127515 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,TOYOTA Camry,9722
45805054,642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,148794 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Tucson,23104
45757123,521,CHEVROLET,Volt,2011,Hatchback,Yes,Hybrid,1.4,288778 km,4.0,Automatic,Front,04-May,Left wheel,Black,0,CHEVROLET Volt,2666
45768362,1869,DODGE,Ramcharger,2019,Sedan,Yes,Petrol,3.6,22293 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12,DODGE Ramcharger,16935
45766212,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,132630 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12,MERCEDES-BENZ E 350,314
45782011,-,KIA,Optima,2014,Sedan,No,Hybrid,2.4,66000 km,6.0,Tiptronic,Front,04-May,Left wheel,White,12,KIA Optima,24148
45759898,-,BMW,X5,2003,Jeep,Yes,Diesel,3.0 Turbo,280000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,6,BMW X5,15681
45793831,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,67000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12,HYUNDAI Elantra,21326
45761983,915,BMW,535,2014,Sedan,Yes,Petrol,3.0 Turbo,170000 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,BMW 535,26657
45796777,862,HYUNDAI,H1,2011,Universal,Yes,Diesel,2.5,222604 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,HYUNDAI H1,18500
45771640,1024,NISSAN,Altima,2010,Sedan,Yes,Petrol,2.5,238342 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,NISSAN Altima,627
45749888,-,OPEL,Astra,2005,Hatchback,No,Petrol,1.6,75000 km,4.0,Manual,Front,04-May,Left wheel,Black,12,OPEL Astra,10976
45456059,761,TOYOTA,Prius,2010,Sedan,Yes,Hybrid,1.8,97000 km,4.0,Automatic,Front,04-May,Left wheel,Black,8,TOYOTA Prius,14500
45804160,707,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,137000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,HYUNDAI Tucson,27065
45801760,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Elantra,17158
45114807,-,TOYOTA,Prius,2008,Hatchback,Yes,Hybrid,1.5,137000 km,4.0,Automatic,Front,04-May,Left wheel,Golden,6,TOYOTA Prius,13799
45508014,-,TOYOTA,Prius,2017,Sedan,No,Hybrid,1.8,33000 km,4.0,Tiptronic,Front,04-May,Left wheel,Blue,8,TOYOTA Prius,37633
45795100,891,KIA,Sportage,2016,Jeep,Yes,Diesel,2.0 Turbo,53000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,8,KIA Sportage,40142
45789598,-,VOLKSWAGEN,Golf 4,1998,Hatchback,No,CNG,1.6,272000 km,4.0,Manual,Front,04-May,Left wheel,Silver,0,VOLKSWAGEN Golf 4,6000
45732653,431,HYUNDAI,Sonata,2016,Sedan,Yes,Hybrid,2,251768 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Sonata,16308
45810645,363,CHEVROLET,Spark,2014,Sedan,Yes,Petrol,1,35565 km,4.0,Automatic,Front,04-May,Left wheel,White,4,CHEVROLET Spark,8778
45787307,-,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,123000 km,4.0,Variator,Front,04-May,Left wheel,Black,4,TOYOTA Prius,12858
45770536,-,SUBARU,Outback,2005,Universal,No,Petrol,2.5,170000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,Black,4,SUBARU Outback,10976
