Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Doors,Color,Airbags,Age,Price
609,44,163,9,1,2,2.5,127515,0,1,1,12,7,9722
642,17,587,4,1,1,2.0,148794,0,1,14,4,13,23104
521,5,613,3,1,2,1.4,288778,0,1,1,0,14,2666
0,22,446,9,0,2,2.4,66000,2,1,14,12,11,24148
0,2,624,4,1,1,3.0,280000,2,1,7,6,22,15681
891,17,243,9,0,5,2.0,67000,2,1,1,12,9,21326
915,2,54,9,1,5,3.0,170000,0,1,1,12,11,26657
862,17,333,10,1,1,2.5,222604,0,1,1,4,14,18500
0,34,95,3,0,5,1.6,75000,1,1,1,12,20,10976
761,44,477,9,1,2,1.8,97000,0,1,1,8,15,14500
707,17,587,4,1,1,2.0,137000,0,1,7,4,14,27065
687,17,243,9,1,5,1.6,122740,0,1,14,4,15,17158
0,44,477,3,1,2,1.5,137000,0,1,5,6,17,13799
0,44,477,9,0,2,1.8,33000,2,1,2,8,8,37633
891,22,555,4,1,1,2.0,53000,2,1,12,8,9,40142
431,17,545,9,1,2,2.0,251768,0,1,14,4,9,16308
363,5,554,9,1,5,1.0,35565,0,1,14,4,11,8778
0,42,451,10,0,5,2.5,170000,2,1,1,4,20,10976
308,24,153,3,1,2,1.8,132563,0,1,11,0,11,11447
0,24,153,3,1,2,1.8,66000,0,1,14,12,11,29793
781,44,163,9,1,2,2.5,228717,0,1,7,12,13,2430
1017,17,243,9,0,5,2.0,44000,0,1,1,6,8,17562
501,44,91,3,1,5,1.5,123000,0,1,14,4,11,12607
1099,41,498,4,1,1,2.7,195000,0,1,14,4,15,22947
843,44,477,9,0,2,1.5,145600,0,1,2,12,17,10976
765,17,545,9,1,4,2.0,312519,0,1,12,4,10,15367
0,17,243,9,0,5,1.8,13500,2,1,1,4,13,17562
0,12,290,9,0,5,2.5,148800,2,1,1,6,11,20385
1016,22,446,9,1,5,2.0,30087,0,1,1,4,8,27441
1598,28,398,4,1,1,3.0,218000,0,1,7,8,17,27598
0,2,624,4,1,5,3.0,245000,0,1,1,0,17,24148
1091,17,333,10,1,1,2.5,156151,0,1,7,4,9,36219
836,17,587,4,1,1,2.0,130339,0,1,12,4,15,7213
891,2,35,9,1,5,2.0,51930,0,1,1,12,9,3136
0,47,134,9,1,5,2.0,174000,2,1,1,12,15,16308
707,31,452,4,1,5,2.0,100000,2,1,1,8,14,13998
730,41,83,4,1,5,1.6,60108,0,1,14,4,9,39201
833,5,174,4,1,1,2.2,70000,0,1,7,4,10,25440
531,17,243,9,1,5,1.6,106400,0,1,12,4,13,20266
641,5,450,4,1,1,2.0,38235,0,1,12,4,13,9405
781,44,163,9,1,2,2.5,124000,0,1,14,9,13,17249
640,12,570,9,1,5,2.0,72407,0,1,14,4,12,39499
1024,17,333,7,1,1,2.5,112219,0,1,12,4,15,10945
0,15,270,3,1,5,1.3,113581,1,1,14,4,15,11290
1036,2,35,9,1,5,2.8,38415,2,1,1,12,10,37006
640,42,637,9,1,5,2.0,105523,0,1,2,0,12,5645
777,17,333,7,1,1,2.5,139905,0,1,12,4,11,36968
730,41,83,4,1,1,1.6,68942,0,1,14,4,9,39750
917,17,331,9,1,5,3.0,55171,0,1,1,4,12,22894
761,44,477,3,0,2,1.8,146000,0,1,7,12,15,9879
0,44,196,9,0,4,1.8,140000,0,1,4,8,15,9500
586,17,243,9,1,5,1.8,195200,0,1,1,12,13,16308
1249,33,90,9,0,5,2.5,28800,0,1,14,10,8,27284
0,44,477,9,0,2,1.8,136600,0,1,14,8,12,21326
639,47,462,9,1,1,2.0,77349,0,1,14,12,11,5018
0,2,56,9,1,5,3.0,230000,2,1,1,8,18,17876
333,42,637,9,1,2,2.0,270472,0,1,14,0,11,15681
1624,28,229,9,1,1,3.5,266061,0,1,1,12,16,1411
530,17,243,9,1,5,1.6,50015,0,1,2,4,12,28241
1829,42,282,4,1,5,2.5,262298,0,1,2,12,19,1098
687,17,243,9,1,5,1.6,132967,0,1,7,4,15,13476
1273,22,555,4,1,5,2.4,6216,0,1,4,12,5,1098
585,44,477,9,1,2,1.8,180000,2,1,12,0,12,15681
0,28,118,9,1,5,2.5,255000,2,1,12,6,18,18817
1399,28,229,9,1,1,3.5,189530,0,1,1,12,15,12388
831,22,446,9,0,2,2.4,163065,2,1,12,12,14,11290
0,31,458,4,1,5,2.0,0,0,1,14,3,24,10036
891,17,243,9,0,5,2.0,92000,2,1,1,8,9,23207
394,44,163,9,1,2,2.5,0,0,1,1,12,11,10349
1705,41,498,4,1,1,2.7,76224,0,1,1,4,18,6272
930,17,587,4,1,1,1.7,79550,0,1,14,4,7,53154
0,44,593,7,1,0,2.0,210000,0,1,1,8,22,7527
1493,28,229,9,1,1,3.5,77205,0,1,7,12,9,1568
687,17,243,9,1,5,1.6,115783,0,1,12,4,15,13658
738,5,206,9,1,5,1.4,148800,2,1,11,12,8,11290
503,44,481,3,0,2,1.5,110000,0,1,13,12,13,18503
308,44,477,3,1,2,1.8,212357,0,1,12,12,11,3136
1598,28,229,9,1,1,3.0,175614,0,1,1,12,17,2430
1091,17,333,7,1,1,2.5,104697,0,1,12,4,9,41886
0,31,458,4,0,5,1.8,111111,0,1,14,2,25,9408
781,47,464,9,1,5,2.5,71000,2,1,7,6,13,20385
707,17,545,9,1,4,2.0,82328,0,1,12,4,14,7056
880,33,606,9,1,5,1.6,0,0,1,7,12,7,2587
0,2,621,4,1,1,2.0,153000,2,1,2,12,10,43902
919,2,624,4,1,1,3.0,274098,0,1,14,0,13,7213
642,17,530,4,1,1,2.0,148310,0,1,12,4,13,29580
629,17,243,9,1,5,1.6,38914,0,1,7,4,10,27065
917,28,401,4,1,1,3.0,244800,0,1,14,8,12,40769
891,17,545,9,1,4,2.0,295509,0,1,12,4,9,15681
1032,33,441,3,1,5,1.2,144000,0,1,1,8,13,10663
640,22,446,9,1,5,2.0,43330,0,1,14,4,12,16465
0,15,270,3,0,5,1.3,161000,0,1,11,4,23,6272
915,1,487,4,1,5,3.0,92000,2,1,1,12,11,62722
781,5,206,9,1,5,1.4,41822,0,1,7,12,7,4704
0,47,462,9,1,5,1.8,179760,0,1,12,10,20,5018
585,17,243,9,1,5,1.8,177590,0,1,7,12,12,1960
732,15,270,3,1,5,1.3,10970,0,1,12,4,7,21683
